Position,artists,track_name,Days,Top 10(xTimes),PeakPosition,PeakPosition(xTimes),PeakStreams,totalstreams
974,BillieEilish,allthegoodgirlsgotohell,151,5.0,3,(x1),1817790,53993006
975,Coldplay,MyUniverse,165,1.0,8,0,946374,53947652
976,6ix9ine,GOOBA,112,12.0,3,(x4),1512145,53917148
977,ChildishGambino,3005,547,0.0,37,0,253876,53853351
978,TeeGrizzley,FromTheDToTheA,267,0.0,93,0,282746,53814866
979,ArianaGrande,NASA,102,9.0,3,(x5),2947263,53660003
980,PostMalone,MotleyCrew,115,13.0,3,(x3),1695072,53597602
981,BebeRexha,I'maMess,203,0.0,63,0,383316,53309228
982,TheChainsmokers,WhoDoYouLove,160,0.0,28,0,796933,53239474
983,SZA,Shirt,62,6.0,8,0,1930964,53203148
984,MarenMorris,TheBones,187,0.0,51,0,470810,53108609
985,Drake,10Bands,329,12.0,5,0,536440,52875134
986,ToryLanez,SayIt,283,0.0,33,0,321101,52744672
987,JackHarlow,NailTech,110,23.0,2,(x2),1135997,52488297
988,JuiceWRLD,Life'sAMess,114,14.0,3,(x1),3094307,52474709
989,6ix9ine,GUMMO,174,0.0,48,0,519071,52433571
990,Drake,Signs,122,7.0,7,0,1048149,52311258
991,YFNLucci,EverydayWeLit,245,0.0,95,0,253281,52259968
992,DuaLipa,We'reGood,154,1.0,10,0,695072,52250269
993,MeganTheeStallion,CryBaby,158,0.0,32,0,552142,51989339
994,LilBaby,CloseFriends(LilBaby&Gunna),200,0.0,41,0,632381,51946627
995,TaiVerdes,AOK,167,0.0,35,0,451540,51926588
996,EdSheeran,Don't,328,0.0,15,0,245898,51816937
997,LilNasX,Rodeo,104,10.0,7,0,1196792,51788566
998,YoungBoyNeverBrokeAgain,OutsideToday,189,0.0,74,0,427688,51700652
999,TaylorSwift,Question...?,49,7.0,8,0,5519609,51647553
1000,BadBunny,Safaera,151,0.0,30,0,769149,51612770
1001,HarryStyles,Daylight,113,13.0,5,0,2833429,51560617
1002,TaylorSwift,the1,103,14.0,1,(x1),4175284,51543535
1003,IceCube,ItWasAGoodDay,206,0.0,91,0,334709,51427753
1004,OmarApollo,Evergreen,106,4.0,8,0,776748,51419831
1005,NickiMinaj,TruffleButter,332,0.0,14,0,322273,51390845
1006,CheatCodes,Sex,170,0.0,33,0,454585,51361858
1007,O.T.Genasis,CutIt,250,0.0,47,0,334454,51307796
1008,PaulMcCartney,WonderfulChristmastimeEditedVersion/Remastered2011,87,0.0,14,0,2142169,51289585
1009,XAmbassadors,Renegades,324,0.0,22,0,346357,51224217
1010,BadBunny,YoPerreoSola,142,0.0,18,0,926127,51051248
1011,ImagineDragons,Enemy,95,16.0,8,0,665972,50995955
1012,Pitbull,TimeofOurLives,241,14.0,8,0,424077,50967811
1013,TrippieRedd,1400/999Freestyle,148,0.0,15,0,906278,50938549
1014,bennyblanco,Roses,146,0.0,41,0,520019,50831435
1015,TheWeeknd,TakeMyBreath,116,10.0,3,(x1),1723476,50769835
1016,BurlIves,RudolphTheRedNosedReindeer,139,0.0,20,0,1585555,50752538
1017,Drake,RightHand,270,0.0,22,0,324018,50737805
1018,ArianaGrande,BreakFree,286,59.0,1,(x1),469324,50627582
1019,EmBeihold,NumbLittleBug,144,0.0,25,0,484640,50555344
1020,CharliePuth,LeftandRight(Feat.JungKookofBTS),139,1.0,8,0,983052,50440183
1021,Bizarrap,"Quevedo:BzrpMusicSessions,Vol.52",135,0.0,27,0,517445,50396055
1022,LaurenSpencerSmith,FingersCrossed,121,8.0,2,(x1),1182298,50353213
1023,MetroBoomin,NoComplaints,165,0.0,26,0,620643,50224935
1024,Galantis,NoMoney,174,0.0,25,0,475539,50044898
1025,Eminem,TheRealSlimShady,192,0.0,16,0,543319,50034425
1026,Sia,ElasticHeart,281,0.0,12,0,323941,49959549
1027,PostMalone,92Explorer,109,0.0,14,0,2115624,49920716
1028,LilTecca,LoveMe,136,0.0,23,0,618085,49902710
1029,SZA,KillBill,20,18.0,1,(x16),2976280,49884805
1030,G,EazySomeKindOfDrug,256,0.0,38,0,431500,49833045
1031,Migos,GetRightWitcha,199,0.0,17,0,602055,49833007
1032,TheChainsmokers,CallYouMine,125,0.0,20,0,702046,49745871
1033,MilkyChance,StolenDance,353,0.0,18,0,217719,49660656
1034,Echosmith,CoolKids,274,63.0,4,0,340219,49643988
1035,A$APRocky,F**kin'Problems,528,0.0,111,0,194902,49467361
1036,GeneAutry,HereComesSantaClaus(RightDownSantaClausLane),134,0.0,27,0,1714813,49462102
1037,StephanieBeatriz,TheFamilyMadrigal,115,1.0,10,0,658350,49436537
1038,Logic,KeanuReeves,122,0.0,13,0,1100889,49392833
1039,MØ,FinalSong,155,0.0,33,0,472642,49361417
1040,OliviaRodrigo,"1stepforward,3stepsback",93,8.0,6,0,2296296,49354316
1041,Maroon5,Wait,162,0.0,38,0,588796,49303216
1042,TOKYO’SREVENGE,GOODMORNINGTOKYO!,136,0.0,39,0,540193,49275156
1043,KendrickLamar,DieHard,107,7.0,2,(x3),3909587,49248636
1044,ShawnMendes,Wonder,122,4.0,8,0,1080092,49246743
1045,CodyJohnson,'TilYouCan't,182,0.0,61,0,367310,49196663
1046,MeganTheeStallion,HotGirlSummer,107,7.0,2,(x1),1290006,48986332
1047,TylerHubbard,5Foot9,178,0.0,58,0,351547,48935367
1048,FrankSinatra,MistletoeAndHollyRemastered1999,139,0.0,29,0,1303175,48859261
1049,CalvinHarris,MyWay,133,0.0,15,0,615744,48839895
1050,FloridaGeorgiaLine,Simple,164,0.0,50,0,501812,48765565
1051,Halsey,NewAmericana,237,0.0,31,0,293102,48670562
1052,Ashnikko,Daisy,153,0.0,37,0,419153,48663445
1053,MileyCyrus,MidnightSky,121,1.0,5,0,1161613,48593390
1054,TravisScott,Watch,105,2.0,2,(x1),2095463,48528205
1055,TaylorSwift,Don’tBlameMe,182,0.0,73,0,410224,48446993
1056,PostMalone,OverNow,94,6.0,6,0,2880829,48399298
1057,AnuelAA,China,136,0.0,22,0,552745,48374018
1058,JustinTimberlake,SaySomething,123,0.0,13,0,855127,48226776
1059,Maroon5,Cold,118,0.0,23,0,654436,48029320
1060,ImagineDragons,Bones,151,0.0,49,0,557121,48025317
1061,CalvinHarris,Blame,259,50.0,2,(x2),406448,47969994
1062,BillieEilish,mystrangeaddiction,117,3.0,9,0,1502995,47834232
1063,TrippieRedd,DarkKnightDummo(Feat.TravisScott),180,0.0,53,0,450251,47818797
1064,LukeCombs,BetterTogether,179,0.0,21,0,596360,47787095
1065,NickyJam,X,137,0.0,38,0,515099,47783184
1066,CleanBandit,Solo,122,0.0,38,0,552074,47767161
1067,YoGotti,DownIntheDM,218,0.0,21,0,406003,47599228
1068,"Tyler,TheCreator",WUSYANAME,119,8.0,1,(x1),2320080,47551679
1069,T,WayneNastyFreestyle,176,45.0,3,(x31),592776,47412344
1070,SelenaGomez,KillEmWithKindness,145,0.0,22,0,486771,47387427
1071,Maroon5,Maps,318,18.0,4,0,344809,47362002
1072,KanyeWest,Moon,91,5.0,4,0,2538604,47360570
1073,XXXTENTACION,NUMB,155,1.0,9,0,1445168,47260044
1074,TwentyOnePilots,CarRadio,378,0.0,106,0,167270,47194493
1075,MartinGarrix,SummerDays,114,0.0,27,0,612884,47163854
1076,BadBunny,YoNoSoyCeloso,125,0.0,12,0,1565952,47047318
1077,MeghanTrainor,NO,159,0.0,14,0,563650,47036106
1078,JustinBieber,Friends,101,7.0,2,(x1),1152734,46960589
1079,ArianaGrande,needy,83,7.0,3,(x1),2997104,46952516
1080,ManuelTurizo,LaBachata,131,0.0,48,0,459579,46825328
1081,OneDirection,Perfect,165,8.0,5,0,805717,46770086
1082,MileyCyrus,Prisoner,142,1.0,5,0,1104754,46717753
1083,JonasBrothers,OnlyHuman,136,1.0,6,0,1125721,46658896
1084,KidCudi,Mr.Rager,174,0.0,65,0,353777,46632445
1085,CleanBandit,Symphony,159,0.0,40,0,465181,46570752
1086,JohnLennon,HappyXmas(WarIsOver)Remastered2010,94,0.0,25,0,1647401,46430174
1087,NAV,Champion,151,0.0,47,0,520802,46335200
1088,DanteKlein,LetMeHoldYou(TurnMeOn),142,0.0,32,0,473402,46295103
1089,JustinBieber,Company,215,4.0,9,0,575534,46279257
1090,RuthB.,LostBoy,263,0.0,65,0,278982,46211456
1091,TaylorSwift,Mastermind,51,0.0,11,0,4450320,46196864
1092,Khalid,Talk,57,0.0,12,0,1275854,46168125
1093,Offset,Clout,134,0.0,41,0,607319,45988907
1094,FrankOcean,Pink+White,175,0.0,69,0,376845,45987269
1095,Nelly,LilBit,149,0.0,38,0,434764,45977526
1096,JoyAgain,LookingOutforYou,185,0.0,61,0,325897,45955297
1097,OneRepublic,WhereverIGo,176,0.0,39,0,371869,45867470
1098,ZayHilfigerrr,JujuOnThatBeat(TZAnthem),126,6.0,7,0,715338,45767401
1099,*NSYNC,"MerryChristmas,HappyHolidays",125,0.0,30,0,1521093,45744894
1100,ShawnMendes,Monster(ShawnMendes&JustinBieber),113,6.0,1,(x1),1390004,45583358
1101,PostMalone,DieForMe,88,7.0,6,0,2501060,45568118
1102,JackHarlow,WayOut,129,0.0,23,0,964473,45565912
1103,DemiLovato,TellMeYouLoveMe,143,0.0,35,0,551431,45532926
1104,BigSean,Blessings,333,0.0,16,0,329130,45528886
1105,LilBaby,LifeGoesOn,174,0.0,87,0,323807,45524730
1106,JustinBieber,I'llShowYou,151,26.0,5,0,959474,45486634
1107,Drake,Hype,164,2.0,9,0,802445,45480573
1108,WizKhalifa,HopelessRomantic,128,0.0,29,0,670800,45393663
1109,EdSheeran,CrossMe,98,2.0,8,0,1165189,45370707
1110,Jeremih,Planes,257,0.0,28,0,294954,45313785
1111,SamSmith,TooGoodAtGoodbyesEdit,54,20.0,2,(x5),1423261,45142874
1112,SelenaGomez,Fetish,113,8.0,4,0,1338226,45130808
1113,RodWave,Rags2Riches,106,0.0,13,0,856766,45120892
1114,MartinGarrix,Ocean,99,0.0,17,0,928374,45068508
1115,ChancetheRapper,JukeJam,285,0.0,39,0,393589,44972930
1116,TheNeighbourhood,Softcore,142,0.0,37,0,430498,44951503
1117,SamSmith,HaveYourselfAMerryLittleChristmas,147,0.0,20,0,1063342,44951050
1118,CharliePuth,OneCallAway,178,0.0,20,0,412164,44950868
1119,ToryLanez,BrokeInAMinute,145,0.0,24,0,595694,44876389
1120,TrippieRedd,Death,114,0.0,18,0,788739,44826260
1121,ZacEfron,RewriteTheStars,136,0.0,16,0,712459,44802916
1122,BruceSpringsteen,"SantaClausIsComin'toTownLiveatC.W.PostCollege,Greenvale,NYDecember1975",105,0.0,27,0,1671283,44793152
1123,HotelUgly,ShutupMyMomsCalling,114,0.0,43,0,490267,44768357
1124,PostMalone,OnTheRoad,90,7.0,7,0,2345300,44706330
1125,Logic,44More,90,8.0,6,0,1307547,44699487
1126,NickJonas,Jealous,205,58.0,4,0,351570,44622840
1127,Jeremih,Don'tTell'Em,274,24.0,4,0,307920,44580888
1128,LilNasX,PaniniDaBabyRemix,124,0.0,27,0,654612,44531866
1129,DavidGuetta,BangMyHead,183,0.0,30,0,374535,44395289
1130,LouisTomlinson,BacktoYou,98,0.0,24,0,670972,44387909
1131,DuncanLaurence,Arcade,157,0.0,57,0,352955,44307767
1132,Drake,Pussy&Millions,54,11.0,3,(x2),3916020,44301382
1133,YellowClaw,InMyRoom,212,0.0,53,0,288915,44202130
1134,TaylorSwift,CruelSummer,126,7.0,3,(x1),2277951,44160627
1135,BillieEilish,xanny,104,6.0,4,0,1793874,44154537
1136,ToveLo,Habits(StayHigh),264,33.0,3,(x2),336620,44139331
1137,girlinred,wefellinloveinoctober,172,0.0,44,0,393988,44020710
1138,Adele,OhMyGod,100,7.0,2,(x2),2315914,44008064
1139,TheChainsmokers,Takeaway,116,0.0,13,0,827528,43933634
1140,IggyAzalea,BlackWidow,221,56.0,2,(x7),387390,43828836
1141,ThomasRhett,CravingYou,194,0.0,56,0,360989,43808144
1142,AntSaunders,YellowHearts,104,0.0,19,0,607388,43785355
1143,PostMalone,DejaVu,230,0.0,49,0,370195,43775282
1144,Drake,MajorDistribution,53,12.0,2,(x4),4577550,43686889
1145,BTS,BoyWithLuv,101,7.0,4,0,1314671,43677086
1146,MacMiller,GoodNews,64,15.0,3,(x3),2486030,43654898
1147,Avicii,SOS,90,2.0,5,0,1220031,43607635
1148,LilTjay,RunItUp,136,0.0,22,0,670253,43512351
1149,MoneyMan,24,121,0.0,22,0,522480,43448074
1150,LilTecca,NeverLeft,120,0.0,12,0,787091,43434994
1151,JhayCortez,NoMeConoceRemix,177,0.0,106,0,299052,43371176
1152,Macklemore&RyanLewis,Downtown,196,0.0,14,0,429459,43292794
1153,VinceGuaraldiTrio,ChristmasTimeIsHereVocal,117,1.0,6,0,1494846,43279264
1154,Rudimental,LayItAllonMe,190,0.0,29,0,348472,43278098
1155,TheJackson5,ISawMommyKissingSantaClaus,108,0.0,26,0,1381853,43253152
1156,JohnLegend,LoveMeNow,145,0.0,31,0,441580,43235430
1157,CharliePuth,MarvinGaye,237,0.0,22,0,339296,43123758
1158,PostMalone,ZackAndCodeine,77,5.0,7,0,2835989,43018804
1159,Jidenna,ClassicMan,233,0.0,16,0,374055,43003452
1160,JonasBlue,PerfectStrangers,148,0.0,41,0,423069,42965769
1161,DustinLynch,SmallTownBoy,191,0.0,82,0,315099,42940339
1162,RoddyRicch,LateAtNight,125,0.0,21,0,791442,42905142
1163,BrentFaiyaz,ALLMINE,143,1.0,7,0,983422,42901101
1164,Drake,ChampagnePoetry,70,8.0,2,(x1),5953619,42852511
1165,DavidGuetta,HeyMama,178,25.0,7,0,499908,42850762
1166,ScHoolboyQ,X,105,5.0,5,0,1276876,42734451
1167,LilPump,Esskeetit,120,0.0,24,0,722734,42652497
1168,ToryLanez,TheColorViolet,119,0.0,46,0,472388,42598269
1169,EdSheeran,SouthoftheBorder,131,1.0,9,0,1221297,42597565
1170,Usher,IDon'tMind,233,7.0,9,0,366859,42588835
1171,MacMiller,SelfCare,116,4.0,4,0,1337856,42582549
1172,JuiceWRLD,TellMeULuvMe,105,4.0,4,0,2291240,42562084
1173,BaileyZimmerman,FallInLove,159,0.0,51,0,432165,42533887
1174,Kygo,StoletheShow,278,0.0,20,0,326191,42531999
1175,MAGIC!,Rude,293,33.0,2,(x1),356943,42493413
1176,CleanBandit,IMissYou,133,0.0,50,0,447945,42466083
1177,Sia,Snowman,100,0.0,28,0,1342079,42395769
1178,BingCrosby,MeleKalikimakaSingleVersion,99,0.0,26,0,1717890,42299178
1179,OliverTree,LifeGoesOn,127,0.0,29,0,485805,42294034
1180,HarryStyles,Satellite,98,6.0,8,0,2309793,42239560
1181,TOTO,Africa,193,0.0,126,0,261244,42187022
1182,BlancoBrown,TheGitUp,117,0.0,32,0,521344,42118089
1183,ZaraLarsson,RuinMyLife,131,0.0,33,0,610749,42106624
1184,LilMosey,Kamikaze,162,0.0,73,0,375436,42097376
1185,MeekMill,R.I.C.O.,257,0.0,11,0,439617,42096440
1186,Offset,RedRoom,102,0.0,14,0,953871,42093852
1187,24kGoldn,CITYOFANGELS,120,0.0,42,0,515829,42046175
1188,JBalvin,UNDIA(ONEDAY)(Feat.Tainy),126,0.0,36,0,693343,41984738
1189,MaggieLindemann,PrettyGirlCheatCodesXCADERemix,145,0.0,58,0,414353,41965006
1190,BigSean,Wolves,120,0.0,17,0,798666,41945520
1191,PharrellWilliams,CashInCashOut,104,5.0,5,0,1093794,41935196
1192,CamilaCabello,Liar,106,0.0,26,0,808244,41933875
1193,Tiësto,TheBusiness,149,0.0,64,0,364169,41882018
1194,Rudimental,TheseDays,108,0.0,24,0,603412,41784826
1195,Panic!AtTheDisco,"HeyLookMa,IMadeIt",145,0.0,47,0,539905,41778523
1196,TrippieRedd,LoveScars,205,0.0,128,0,250489,41773736
1197,SHAED,Trampoline,114,0.0,28,0,642385,41750384
1198,NickiMinaj,ChunLi,119,0.0,18,0,839846,41738408
1199,KendrickLamar,XXX.FEAT.U2.,98,7.0,7,0,2141020,41676943
1200,TaylorSwift,Labyrinth,43,0.0,11,0,4770853,41557645
1201,ShawnMendes,LostInJapan,147,0.0,16,0,853629,41531137
1202,21Savage,monster,93,0.0,12,0,1150034,41507110
1203,JasonDerulo,Trumpets,274,5.0,10,0,283364,41371583
1204,PnBRock,Horses,216,0.0,117,0,225639,41334600
1205,MKTO,Classic,285,0.0,18,0,284976,41278467
1206,KealaSettle,ThisIsMe,137,0.0,37,0,550029,41268449
1207,KanyeWest,OffTheGrid,81,5.0,2,(x1),2932726,41240213
1208,DaBaby,BallIfIWantTo,113,0.0,22,0,655719,41233267
1209,UglyGod,Water,164,0.0,56,0,327719,41230907
1210,Kygo,HigherLove,133,0.0,22,0,721574,41227064
1211,LilSkies,Creeping,164,0.0,58,0,426145,41148515
1212,DaBaby,PRACTICE,123,0.0,41,0,461444,41128399
1213,TheWeeknd,SixFeetUnder,113,11.0,8,0,933144,41114900
1214,42Dugg,4DaGang,130,0.0,41,0,503781,41048708
1215,Khalid,KnowYourWorth,133,0.0,17,0,823709,41048656
1216,VinceGuaraldiTrio,OTannenbaum,103,0.0,26,0,1499244,41048606
1217,DojaCat,BossBitch,114,0.0,36,0,503814,40956320
1218,ianndior,Prospect(ft.LilBaby),119,0.0,31,0,486294,40905921
1219,DJSnake,YouKnowYouLikeIt,190,32.0,7,0,498038,40894937
1220,Tiësto,TheMotto,153,0.0,56,0,369686,40822138
1221,LilBaby,EmotionallyScarred,136,0.0,35,0,652889,40670380
1222,BillieEilish,myfuture,101,6.0,1,(x2),2094143,40625371
1223,Mabel,Don'tCallMeUp,119,0.0,57,0,465978,40566845
1224,Eminem,TheRinger,69,9.0,2,(x6),2595091,40558381
1225,CORPSE,EGIRLSARERUININGMYLIFE!,145,0.0,53,0,374529,40429203
1226,JuiceWRLD,AlreadyDead,90,7.0,4,0,1661207,40414209
1227,KendrickLamar,Alright,294,4.0,8,0,752836,40414154
1228,JamesArthur,TrainWreck,149,0.0,49,0,367691,40405517
1229,TaylorSwift,SweetNothing,43,0.0,12,0,4464243,40294896
1230,TheVamps,AllNight,139,0.0,47,0,381689,40284365
1231,BoyWithUke,Toxic,136,0.0,49,0,399425,40146871
1232,Lunay,SolteraRemix,128,0.0,52,0,468807,40085149
1233,Drake,"HoldOn,We'reGoingHome",410,0.0,59,0,138916,40066976
1234,Mitski,WashingMachineHeart,175,0.0,111,0,270121,40063249
1235,MetroBoomin,Creepin',27,21.0,1,(x6),2132501,40029650
1236,DianeGuerrero,WhatElseCanIDo?,99,0.0,14,0,592526,40013524
1237,JuiceWRLD,Feeling,145,0.0,34,0,745938,39966946
1238,JonPardi,HeartacheOnTheDanceFloor,196,0.0,109,0,257819,39943232
1239,YoungThug,WyclefJean,215,0.0,54,0,343231,39926738
1240,RaeSremmurd,PerplexingPegasus,124,0.0,35,0,517062,39910027
1241,Drake,OnBS,53,9.0,3,(x1),4212752,39870499
1242,NatalieLaRose,Somebody,190,0.0,11,0,397947,39818528
1243,LilUziVert,LoMein,84,7.0,2,(x1),2839950,39778729
1244,KanyeWest,FollowGod,59,12.0,1,(x4),3024071,39754713
1245,CurtisWaters,Stunnin',126,0.0,57,0,427327,39723968
1246,ImagineDragons,WhateverItTakes,168,0.0,42,0,491066,39672015
1247,Drake,Grammys,137,0.0,13,0,702931,39537457
1248,PostMalone,SameBitches,75,0.0,11,0,2534111,39468552
1249,CalvinHarris,Promises,80,0.0,18,0,806419,39351225
1250,ABoogieWitdaHoodie,Numbers,105,1.0,7,0,1208077,39288171
1251,6LACK,ExCalling,181,0.0,58,0,331322,39262008
1252,Maluma,Feliceslos4,176,0.0,80,0,285261,39158450
1253,Drake,FreeSmoke,89,9.0,2,(x1),2411546,39074289
1254,Gunna,Ppower,112,1.0,10,0,754419,39009578
1255,MartinGarrix,ThereforYou,103,0.0,30,0,588376,38986100
1256,ChrisBrown,Ayo,300,0.0,22,0,312158,38923396
1257,J.Cole,Kevin’sHeart,65,7.0,3,(x1),3200312,38876039
1258,PinkPantheress,Pain,125,0.0,41,0,399829,38859397
1259,Axwell/\Ingrosso,MoreThanYouKnow,140,0.0,54,0,357396,38820609
1260,PostMalone,Takin'Shots,70,1.0,9,0,2741318,38797502
1261,BellaPoarch,BuildaBitch,98,0.0,25,0,627884,38791472
1262,Khalid,MyBad,77,1.0,5,0,1311786,38773023
1263,BadBunny,Callaita,133,0.0,32,0,925036,38763386
1264,TheCarters,APESHIT,96,0.0,21,0,782091,38747584
1265,JuiceWRLD,BadBoy,105,7.0,3,(x4),1311221,38692795
1266,PaulMcCartney,WonderfulChristmastime[EditedVersion]Remastered2011/EditedVersion,81,0.0,12,0,1548449,38690720
1267,TaylorSwift,champagneproblems,86,8.0,2,(x5),3247516,38667750
1268,KatyPerry,ChainedToTheRhythm,96,3.0,8,0,793359,38655612
1269,ABoogieWitdaHoodie,MyShit,224,0.0,72,0,257495,38647385
1270,ToveLo,CoolGirl,112,0.0,20,0,568765,38626414
1271,NebuKiniza,GassedUp,201,0.0,72,0,284875,38611542
1272,DojaCat,Juicy,133,0.0,61,0,388243,38580608
1273,Avicii,LonelyTogether,132,0.0,41,0,665615,38574770
1274,Drake,Sticky,92,6.0,4,0,2729748,38564856
1275,DojaCat,LikeThat,145,0.0,78,0,355007,38548756
1276,MetroBoomin,Don'tComeOutTheHouse,102,0.0,11,0,1003594,38522839
1277,OliviaRodrigo,hopeurok,77,0.0,12,0,1818132,38505781
1278,RachelPlatten,FightSong,217,0.0,14,0,361303,38399295
1279,Normani,Motivation,99,0.0,26,0,592408,38387736
1280,Coldplay,AdventureofaLifetime,187,1.0,9,0,576521,38340714
1281,IggyAzalea,Fancy,265,14.0,3,(x1),303592,38339579
1282,RaeSremmurd,LookAlive,226,0.0,79,0,222654,38303341
1283,6ix9ine,TATI,124,0.0,19,0,696029,38279853
1284,OliviaRodrigo,AllIWant,130,0.0,32,0,495093,38269468
1285,Anne,MarieAlarm,160,0.0,59,0,306051,38266800
1286,KingVon,TookHerToTheO,140,0.0,25,0,554150,38210416
1287,DJKhaled,STAYINGALIVE,85,9.0,2,(x1),1153831,38209343
1288,JoynerLucas,Ramen&OJ,118,0.0,31,0,514763,38205698
1289,Future,UsedtoThis,135,0.0,25,0,452438,38172608
1290,Drake,WithYou,160,0.0,17,0,626496,38137637
1291,Metallica,MasterOfPuppets,91,10.0,6,0,898009,38117862
1292,TyDolla$ign,Spicy,144,1.0,7,0,997206,38093021
1293,JudyGarland,HaveYourselfAMerryLittleChristmas,94,0.0,33,0,1325216,37996382
1294,KanyeWest,Pt.2,190,3.0,10,0,701464,37809811
1295,MeghanTrainor,LipsAreMovin,198,42.0,4,0,391392,37798732
1296,Mr.Kitty,AfterDark,151,0.0,114,0,303811,37792811
1297,ZAYN,LIKEIWOULD,115,0.0,11,0,613242,37778917
1298,ScHoolboyQ,THatPart,189,0.0,30,0,417319,37731283
1299,Drake,TeenageFever,106,3.0,10,0,1620596,37554438
1300,FooFighters,Everlong,138,0.0,36,0,405671,37520275
1301,TheWeeknd,Sidewalks,107,10.0,6,0,1010546,37445842
1302,JoeyBada$$,Devastated,219,0.0,67,0,378377,37402203
1303,JuiceWRLD,Fast,90,7.0,6,0,1445114,37381807
1304,MeekMill,SharingLocations,99,1.0,10,0,780208,37363421
1305,MotherMother,Hayloft,133,0.0,58,0,339783,37325330
1306,ArianaGrande,badidea,59,7.0,5,0,2610031,37267051
1307,InternetMoney,Blastoff,111,0.0,13,0,856202,37233300
1308,Future,DrankinNSmokin,125,2.0,5,0,1083019,37178805
1309,Aventura,Volví,106,3.0,5,0,1215433,37155827
1310,EdSheeran,PerfectDuet(EdSheeran&Beyoncé),92,6.0,3,(x1),1286639,37076096
1311,LilDurk,3HeadedGoat,138,0.0,39,0,544928,37066331
1312,DemiLovato,CoolfortheSummer,150,0.0,11,0,429835,37034004
1313,SamFeldt,PostMalone,124,0.0,34,0,518092,37032413
1314,FatJoe,AllTheWayUp,188,0.0,51,0,336681,36979952
1315,BryceVine,DrewBarrymore,105,0.0,45,0,524957,36902844
1316,BadBunny,OtroAtardecer,115,0.0,22,0,1105369,36840103
1317,CalvinHarris,Outside,239,0.0,18,0,294856,36830285
1318,6ix9ine,STOOPID,75,4.0,5,0,1459751,36793453
1319,Kygo,Firestone,311,0.0,29,0,239338,36785148
1320,JohnLennon,HappyXmas(WarIsOver)Remastered,99,0.0,15,0,1363542,36768316
1321,KendrickLamar,PRIDE.,92,4.0,8,0,2178611,36728595
1322,BrentFaiyaz,DeadManWalking,128,0.0,35,0,536743,36687713
1323,RodWave,ByYourSide,113,0.0,34,0,456546,36673061
1324,DonnyHathaway,ThisChristmas,92,0.0,30,0,1426804,36663687
1325,BebeRexha,IGotYou,150,0.0,57,0,356632,36612941
1326,MajorLazer,RunUp,104,0.0,23,0,554587,36529486
1327,LilUziVert,That'sARack,106,0.0,33,0,669040,36500377
1328,Eminem,WithoutMe,158,0.0,29,0,482917,36410442
1329,NardoWick,DahDahDahDah,95,0.0,24,0,616600,36319897
1330,G,Eazy1942,111,0.0,33,0,589086,36303331
1331,NickiMinaj,Bed,78,0.0,20,0,772122,36281305
1332,Drake,Blem,79,8.0,5,0,1830398,36275542
1333,LilUziVert,BabyPluto,68,11.0,1,(x2),3364245,36192827
1334,ZacBrownBand,ChickenFried,151,0.0,14,0,652311,36184251
1335,PetitBiscuit,SunsetLover,140,0.0,55,0,319673,36146543
1336,BadBunny,UnCoco,122,0.0,28,0,1014546,36095670
1337,JuiceWRLD,HearMeCalling,92,0.0,11,0,1185443,36021604
1338,Marshmello,ProjectDreams,128,0.0,72,0,364099,36010708
1339,Kungs,ThisGirlKungsVs.Cookin'On3Burners,128,0.0,28,0,506036,36008168
1340,JuiceWRLD,BloodOnMyJeans,78,7.0,8,0,2622193,35979731
1341,Dan+Shay,GladYouExist,148,0.0,26,0,503958,35932635
1342,blackbear,doremi,130,0.0,55,0,358217,35925140
1343,ZHU,WorkingForItBonusTrack,135,0.0,46,0,371229,35811214
1344,RodWave,Rags2Riches2,98,0.0,22,0,602473,35783137
1345,ChrisBrown,Pills&Automobiles,149,0.0,70,0,347566,35766738
1346,Jeremih,Planez,244,0.0,57,0,210351,35758456
1347,MileyCyrus,PartyInTheU.S.A.,135,0.0,15,0,852761,35748063
1348,Dreamville,CostaRica,114,0.0,20,0,717365,35737065
1349,JonasBlue,Rise,93,0.0,29,0,596555,35668867
1350,ArianaGrande,Problem,277,12.0,6,0,344965,35661474
1351,BlackEyedPeas,RITMO(BadBoysForLife),120,0.0,76,0,362597,35566452
1352,Lorde,GreenLight,92,0.0,11,0,966789,35545428
1353,Saweetie,TapIn,110,0.0,25,0,537217,35519560
1354,DaBaby,Masterpiece,146,0.0,55,0,410504,35472828
1355,AJR,World'sSmallestViolin,129,0.0,75,0,316903,35413229
1356,BlakeShelton,God'sCountry,124,0.0,59,0,388109,35394209
1357,BobbyShmurda,HotN*gga,228,3.0,9,0,382109,35391630
1358,FrankSinatra,JingleBellsRemastered1999,63,0.0,19,0,2029316,35381102
1359,MartinJensen,SoloDance,140,0.0,68,0,319578,35182986
1360,Matoma,RunningOut,194,0.0,52,0,242209,35179841
1361,JonasBlue,Mama,126,0.0,54,0,358747,35176363
1362,J.Cole,ATM,56,7.0,3,(x5),3408026,35156454
1363,YoungBoyNeverBrokeAgain,KaceyTalk,145,0.0,30,0,487976,35145047
1364,BillieEilish,YourPower,71,9.0,1,(x1),2088133,35111253
1365,2Chainz,GoodDrank,190,0.0,55,0,374269,35102155
1366,BeachWeather,"Sex,Drugs,Etc.",112,0.0,51,0,377646,35092006
1367,BadBunny,Andrea,112,0.0,25,0,999201,35085957
